name,description,address,postal_code
George's Lane,HDB Public Shelter,Blk 4C St George's Lane #01-157 S3220,322004
Cambridge Road,HDB Public Shelter,Blk 40 Cambridge Road #01-1,210040
Queen's Close,HDB Public Shelter,Blk 21 Queen's Close #01-141 S1400,140021
Jalan Rumah Tinggi,HDB Public Shelter,Blk 35 Jalan Rumah Tinggi #01-4,150035
Jalan Rumah Tinggi,HDB Public Shelter,Blk 36 Jalan Rumah Tinggi #01-4,150036
Stratmore Ave,HDB Public Shelter,Blk 82 Stratmore Ave #01-148 S1410,141082
Redhill Lane,HDB Public Shelter,Blk 82 Redhill Lane #01-65 S1500,150082
Bukit Merah View,HDB Public Shelter,Blk 125 Bukit Merah View #01-386 S1511,151125
Clarence Lane,HDB Public Shelter,Blk 132 Clarence Lane #01-12 S1401,140132
Kim Tian Road,HDB Public Shelter,Blk 123 Kim Tian Road #01-62 S1601,160123
Toa Payoh Lor 1,HDB Public Shelter,Blk 172A Toa Payoh Lor 1 #01-1170 S3111,311172
Toa Payoh Lorong 4,HDB Public Shelter,Blk 80A Toa Payoh Lorong 4 #01-454 S(31108,311080
Toa Payoh Lorong 5,HDB Public Shelter,Blk 80B Toa Payoh Lorong 4 #01-440 S(31208,312080
Toa Payoh Lorong 2,HDB Public Shelter,Blk 86 Toa Payoh Lor 2 #01-333 S3100,310086
Toa Payoh Lorong 5,HDB Public Shelter,Blk 43 Toa Payoh Lor 5 #01-131 S3100,310043
Toa Payoh Lorong 5,HDB Public Shelter,Blk 50 Toa Payoh Lor 5 #01-69 S3100,310050
Whampoa Road,HDB Public Shelter,Blk 115 Whampoa Road #01-115 S3201,320115
Bedok South Ave 2,HDB Public Shelter,Blk 10C Bedok South Ave 2 #01-562 S4620,462010
Simei Street 5,HDB Public Shelter,Blk 243 Simei Street 5 #01-16 S5202,520243
Simei St 1,HDB Public Shelter,Blk 256 Simei St 1 #01-517 S5202,520256
Tampines St 32,HDB Public Shelter,Blk 302 Tampines St 32 #01-36 S5203,520302
Tampines St 33,HDB Public Shelter,Blk 313 Tampines St 33 #01-26 S5203,520313
Tampines St 33,HDB Public Shelter,Blk 316 Tampines St 33 #01-180 S5203,520316
Tampines St 32,HDB Public Shelter,Blk 328 Tampines St 32 #01-362 S5203,520328
Tampines St 32,HDB Public Shelter,Blk 333 Tampines Street 32 #01-536 S5203,520333
Tampines St 33,HDB Public Shelter,Blk 338 Tampines St 33 #01-204 S5203,520338
Tampines St 33,HDB Public Shelter,Blk 343 Tampines St 33 #01-318 S5203,520343
Tampines St 33,HDB Public Shelter,Blk 345 Tampines St 33 #01-350 S5203,520345
Tampines St 33,HDB Public Shelter,Blk 349 Tampines St 33 #01-434 S5203,520349
Jalan Tenaga,HDB Public Shelter,Blk 645 Jalan Tenaga #01-105 S4106,410645
Jalan Tenaga,HDB Public Shelter,Blk 651 Jalan Tenaga #01-04 S4106,410651
Jalan Tenaga,HDB Public Shelter,Blk 655 Jalan Tenaga #01-94 S4106,410655
Jalan Tenaga,HDB Public Shelter,Blk 660 Jalan Tenaga #01-134 S4106,410660
Jalan Damai,HDB Public Shelter,Blk 661 Jalan Damai #01-129 S4106,410661
Jalan Damai,HDB Public Shelter,Blk 671 Jalan Damai #01-03 S4106,410671
Chai Chee Ave,HDB Public Shelter,Blk 29A Chai Chee Ave #01-74 S4610,461029
Circuit Road,HDB Public Shelter,Blk 42 Circuit Road #01-531 S3700,370042
Pipit Road,HDB Public Shelter,Blk 55 Pipit Road #01-04 S3700,370055
